reviews,ratings,votes,class,classnum
"Too many introductory lessons that aren't useful at all. Week 1&2&3 won't teach you anything. Too much talk and not enough useful information being said. I don't really care about the personal stories of Google employees, I'm here to learn something.",1,185,bad,-1
This was extremely basic and not much help. I do not see how this will contribute to finding a job. ,1,67,bad,-1
"I liked the videos a lot, I just didn't get the point of the journal entries. ",4,50,neutral,0
"Overall, I thought it was a great introduction to the topics that will be covered in the certificate. A couple of areas for growth in my opinion:",3,47,neutral,0
This gives a great foundation for Data Analytics. The instructors do skim over everything and I would have liked more detail but most of what I wanted to find out more about I was able to find online. ,5,33,good,1
"This course felt very basic. It could have been condensed into 2-3 weeks. The beginning concepts of data life cycle, data analysis skills, and all the material covered in weeks 1-3 could have been condensed to 1 week and weeks 4-5 material could have been condensed into another week. I don't feel like I've learned anything concrete in this course because weeks 1-3 brushes on how to think as a data analyst, and weeks 4-5 only slightly brushes on spreadsheets and SQL. In addition, I looked over the discussion forums, I don't think participation in them are helpful. It says participation is optional, but it marks me off and says that I haven't completed the entire course. The good thing is that I can watch videos in a higher speed and can fast forward to the the next weeks if I move ahead. However, I worry that the course might be dragged on and some students can lose interest. I enjoyed the stories that the different instructors shared, and can feel that they are personable people. I appreciate the work put into this! ",2,32,bad,-1
"To all the instructors, thank you so much for taking the time to create this resource. The high-quality production and real-world examples make this the best data analytics course I've enrolled in. ",5,31,good,1
"Awesome class. Found out why I'm always analytical about things in my personal life and the critical thinking that this provides. I love it and hopefully this will help me land my dream job at Google!

",5,29,good,1
"S<U+200B>olid ""big picture"" refresher course before getting into the more technical stuff I'm sure down the road, even for folks with backgrounds in math and science but haven't used it years (okay, decades).",5,28,good,1
"i love the course as it helped me understand the importance of asking the right questions, understanding the problem and expectations of stakeholders and impotance and the right way of communicatilon.",5,23,good,1
Awesome class. Found out why I'm always analytical about things in my personal life and the critical thinking that this provides. I love it and hopefully this will help me land my dream job at Google!,5,21,good,1
I think this first course is incredibly well structured with a very good approach of covering all the steps in their most basic form and then advancing into them while having the big picture in mind.,5,20,good,1
A lot of small talk and very less knowledge,1,20,bad,-1
"I thought the videos were helpful in getting a basic understand of data analytics and what to look forward to. However, I was hoping to learn more from most activities. The journals and self-reflection sometimes don't give much value, although I suppose they get you thinking like an analyst a bit. When giving an introduction to spreadsheets and databases, it would be significantly more helpful if the activities were more hands on. I thought that would be the case when they introduced Qwiklabs, but no. Also, I noticed a time or two, I wasn't sure how I was supposed to input an answer, i.e. I'm sure I knew the answer, but just didn't get credit for it because of how Coursera wanted me to write it.",3,19,neutral,0
"The course was really insightful. Knowing tools is not enough, understanding the business scenario and then applying technical knowledge to solve any problem is what a data analyst is expected to do.",5,18,good,1
I just finished the course. This course was great not only the materials but also the instructor.,5,18,good,1
"This course is awesome, you will be taught by some of the leading data analysts at the google and also they provide some valuable insights about the whole career and opportunities in this field.",5,16,good,1
i am really happy that i have completed this course thanks to coursera i am willing to enroll the next courses to fullfil my knowledge and dream.#thanks google and coursera to give me the opportunity.,5,15,good,1
"Very basic, integration with external tools wonky, quizzes often seem to grade valid SQL as incorrect and don't give feedback to help learners understand what syntax the program expects",3,15,neutral,0
"It was an introductory course, so don't expect it to be so difficult. Videos are made very well. Tony was fine. Perhaps more questions could be provided during the videos to make sure people understand/pay attention to them. As in other Google courses, the discussions seem like a waste of time as many people skip them and there doesn't seem to be any punishment for not participating in them. Finally, it is just in the honor code that somebody writes in the journal. From a pedagogical perspective, it seems like a wasted opportunity.",5,12,good,1
I really very enjoy And having fun by learning this course and learn way much almost everything about the course thank you coursera for this certificate and thanks google team to teach me this course,5,12,good,1
Very nicely presented and cleared all the doubts I have personally. Majorly touching all the basic points to cover to topic of Data Analysis. Love the course and looking forward to complete it ,5,12,good,1
Great intro and the words of encouragement are really appreciated! Each of the instructors gave their personal touch and I felt connected with all the struggles and excitement. I LEARNED A LOT!,5,10,good,1
Great first course. So much good information that was well presented and easy to digest. Awesome videos and assignment. I feel I am going to be well prepared when I am working for GOOGLE.,5,10,good,1
Even the least of your interest in this field will be converted into the fixed career field after doing this course .,5,8,good,1
This gives a great foundation for Data Analytics. The instructors do skim over everything and I would have liked more detail but most of what I wanted to find out more about I was able to find online.,5,7,good,1
"I was hoping to get some practice but it is all talk and very little practice, I couldn't believe it when it said the course is completed and I have gotten my certificate. I don't feel comfortable to apply for a job. I am googling and watching YouTube videos  to learn what I supposed to be learning here. I learned nothing here except some definitions I could have googled. kinda bumped and sad",1,7,bad,-1
"The course is not what I imagined it to be, throughout the course the same steps of data lifecycle are repeated over and over again.
When I saw the course I was expecting it to teach me how to think when approaching a data analysis task, it fails to do that. 
There are limited case studies spanned over 5 weeks! 
I would suggest it will be better, more useful to have the theoretical part restricted to one week and use the other four to dig deep into cases studies, say one case study each week and really take us with you through  the journey of that life cycle with proper examples. Otherwise I believe this course has failed to teach me 5 weeks worth of knowledge. ",1,6,bad,-1
I thought there was a lot of useful insights into things to watch out for and ways to avoid common pit-falls. Repetition on the important points seemed well timed and reenforced. ,5,5,good,1
"A Good Introductory Course on Data Analytics. I enjoyed it. Thanks, GOOGLE & Coursera",5,5,good,1
"Very dense, key information could've been explained in 1/20 of what the course has done, anyways, im looking forward to the programming part !",2,5,bad,-1
A complete and utter waste of time. There was perhaps 5% useful info (the SQL portion) and 95% garbage meant to waste everyone's time to create the illusion of academia.,1,5,bad,-1
"For a total beginner starting with this foundational course makes you realize that Data are everywhere and exciting to dive deeper into them! Course's instructors are everyday people with knowledge and passion to share, motivating you at each step. Detailed and oriented in self progress with quizzes giving you that achievement feeling! Totally recommended.  ",5,4,good,1
It was a fun intro course to data analysis. I have already done some courses prior to this course so i had to cruise through it. But if you are completely new to data analysis field this is a great start.,5,4,good,1
"Great course, well organized and the people involved represent a diverse cross section of professionals working in diverse areas.",5,4,good,1
This course is just a basic course designed by google but the certification is given by Coursera not Google. It was advertised as if Google will issue the certificate. ,2,4,bad,-1
"Claims about people being hired as data analysts with no degree or experience are belied by lack of evidence. You can check jobs via Course 8, Wk 4. ""End of certificate checklist."" ""Create your job profile."" I don't see any no-deg/no-exp jobs. None from Google. No success stories either. ",1,4,bad,-1
"I just earned this first certificate! I really enjoyed this course. I've been doing market research as an independent analyst for over five years. My role was focused on the ""analysis"" part. This course showed me a bigger picture of data analysis and opened my eyes to a wide range of possibilities as a data analyst. I am very excited about taking the next certificate courses to get trained in essential skills that will be useful during the entire data analysis process!",5,3,good,1
"Thanks a lot to Google they spend tremendous efforts on the content, and the instructor was extremely helpful and support I appreciate this effort and looking forward to my next step in this program.",5,3,good,1
"Very good course, giving beginners an overview of various aspects of data analysis, as well as having data analysts share their experiences, which is a great way for learners to get to know the field.",5,3,good,1
"I am so happy for became a part of this course. I learn so many new thing from this course, thanks to Coursera and Commonwealth of learning and also course teachers , they all are very amicable.",5,3,good,1
This course did a fantastic job of painting the big picture of Data Analytics. The overview helped reinforce my decision to take the course and motivate me to keep moving,5,3,good,1
"there are may repetitions, some video and reading materials are useless and a waste of time.",3,3,neutral,0
"Do not make people fool, I applied for financial aid for the Google Data Analytics Professional Certificate and it is approved, had complete 1st course and now for the second course you are telling me that I have to upgrade or purchase it. What is this? However, all 8 courses are part of the Google Data Analytics Professional Certificate. Please clerify this.",1,3,bad,-1
lots of theory and very minimal hands-on experience.,1,3,bad,-1
Gentle introduction to data analysis with a focus on soft skills.  The production quality of the videos is top-notch and it's clear a lot of time and thought has gone into developing the program.  ,5,2,good,1
"Some of the questions were odd or I believe them to be incorrect.  One of the final exam questions used 04000 as a zip code but the leading zero should probably be requested as text for '04000' in the where statement but this was counted as incorrect. Question 6 in one of the weeks asked what SELECT * did.  it says it selects all of the data from the table but that isn't quite correct, it selects all features of the data but a where clause would limit the data as well, so saying select * selects all of the data is misleading.",3,2,neutral,0
"I feel like they spent a lot of time trying to convince you that this is interesting and important, instead of delivering interesting and important information. Might be good for someone who is is high school or has never thought about these topics, but didn't work for me.",2,2,bad,-1
"Too heavily based on terminology which is not really used or needed in practice. Why to ask how many ""steps of data analysis"" there is? It is just your oppinions. It doesnt have to be 6. It can be easily 12 or just 4... Some questions in quizes were missleading or even wrong. For example: when you asked if ommiting certain data will lead to fair analysis. Your answer was not to check this column which is not correct. For example if you know that for some period of time, the data was not collected correctly (and you have no way of correcting this), you MUST ommit this data",1,2,bad,-1
"An utter waste of time. Instead of a course, this could have been packed in a two page PDF. No pratical takeaways or uses in real life. Essentially, treats the learner as a ""receptacle"" to be deposited in and then made to ""regurgitate"" information in useless quizzes. Zero connection to reality. ",1,2,bad,-1
"This course should consist of just one video of 30 minutes. Very introductory with a lot of secondary information. Lastly, the amount of politics and propaganda is unbearable.",1,2,bad,-1
Too much introductory. Not even a single lesson for job and Learning was nil. except the jargons.,1,2,bad,-1
"I really enjoyed this course of the Google Analytics program. It was very simple and easy to understand. I found myself know most of the concept were discussed in the course by logic, but Google Team helped to redefine the concepts in more technical way for better understand and to generalize the concepts on the real cases mentioned in the lessons. I have to admit that all the reading lessons were carefully and professionally designed and written for anyone who don't have a technical background would be able to understand. I was very satisfied with my experience in this course, and I'm looking forward for the rest of the program.",5,1,good,1
"T<U+200B>his course covers an overview  of Data Analysis topics and skills. It serves as an introduction to the larger Google Professional Certificiate program and does not always go in depth (""we'll cover that later in the course."") The real gold is in the optional, additional readings and resources which provide practical application for basic SQL, Tableau, and RStudio skills. Videos are entertaining, informative, and inspiring to hear from data analysts who are in the field. I have no experience in the field and explanations were broken down well so I was able to easily follow along.",5,1,good,1
"I just finished the course and I really enjoyed it. This course covers the basic concepts of Data Analysis, it gives you the basic knowledge you need about these topics, also you will get a breif showcase of all of the tools that will be used in later courses of this certificate (SQL, Excel and Visualization). I liked that they were constantly inviting students to participate in forums and learn from others experiences and points of view. If you're already experienced in this subjects the course provides a speed-track that you can take to validate you knowledge and move forward. ",5,1,good,1
"G<U+200B>reat information and review of the basics of Data Analytics.  Lots of useful terminology.  Everything worked well online, no issues at all.  In fact, I using an early 2014 MacBook Air with a dual-core i5 processor and only 4GB of RAM and, like I said before, everything just worked.  ",5,1,good,1
"I loved the course and I have learned a lot. The content is good along with the explanations in the video. However, I think there could have been more problems to use SQL and formulas and functions in the final course challenge. But, overall great experience.",5,1,good,1
"Great course to start with the beginnings or basics in data analytics. Learned a lot in this course, thanks to google and coursera for this one. Data driven decision making is an art and I absolutely enjoyed being a part in this course. ",5,1,good,1
I just loved attending this course.  It made me very happy and discover that I know some skills that are high valued in the market nowadays. Thank you so much Coursera and Google for this opportunity!!!!  8:-),5,1,good,1
It was a great course it really inspired me a lot to search about processes and steps to become data analyst this course is well designed to set up my journey as a data analyst and a good overview .,5,1,good,1
Very helpful and easy to understand. This course well suited for beginners and even for the intermediate ones to refresh and giving fundamental knowledge for a Data Analyst. Thank you Google!,5,1,good,1
This course was a great start to the journey of data analysis. Instructor was awesome and I could easily relate to him and enjoyed his expressive style of teaching. Strongly recommond it.,5,1,good,1
"Excellent starting point, straightforward and clear information. The only thing I consider to need some polishing is the Qwiklabs part. Overall a great experience, thanks for everything!",5,1,good,1
T<U+200B>he course was very detailed and the instructor very engaging which made the subject matter fun to learn and easy to understand. ,5,1,good,1
This course gave me a good idea of what to expect out of data analysis. I'm looking forward to the other courses in this program.,5,1,good,1
A very good foundational course if you are keen on a career in data analytics. Thank you and GOD bless!,5,1,good,1
I enjoyed the course and learned a lot of basic important concepts.,5,1,good,1
so great to learn the key ascpects ,5,1,good,1
GOOD COURSE FOR STARTERS,5,1,good,1
Good basic overview and introduction.,4,1,neutral,0
This course provides an interesting panorama of data analysis. I believe it to be a good starting point for those pursuing this career path. I think the course should add an interactive SQL component and possibly also an interactive spreadsheet component in which participants can see the results of queries and get automatedd feedback on whether they match intended results.,4,1,neutral,0
"I found the course and pace very interesting and liked the ratio of videos to readings to logs etc.  However, I felt the SQL and Query section needed way more practice for beginners like me. I don't think the section covered it enough to really get a grasp of SQL.",4,1,neutral,0
